id_poliza,id_asegurado,ramo,fecha_inicio,fecha_fin,prima,suma_asegurada,deducible,canal_venta,ciudad,estado_poliza
POL00085,A00058,Vehículos,2024-07-29,2025-07-29,1555.66,30000,300.0,Bróker,Quito,Vigente
POL00086,A00059,Vehículos,2024-08-12,2025-08-12,1520.51,50000,500.0,Agente,Riobamba,Vigente
POL00087,A00059,Vida,2024-09-23,2025-09-23,3955.29,50000,500.0,Sucursal,Riobamba,Vigente
POL00088,A00060,Salud,2024-06-08,2025-06-08,568.96,15000,150.0,Agente,Riobamba,Vigente
POL00089,A00060,Vida,2024-10-08,2025-10-08,1083.21,30000,300.0,Sucursal,Riobamba,Vigente
POL00090,A00061,Vehículos,2024-01-27,2025-01-26,2044.47,50000,500.0,Agente,Riobamba,Vigente
POL00091,A00061,Vehículos,2024-12-18,2025-12-18,958.17,20000,200.0,Bróker,Riobamba,Vigente
POL00092,A00062,Vida,2024-03-19,2025-03-19,1324.69,30000,300.0,Sucursal,Manta,Vigente
POL00093,A00062,Salud,2024-02-26,2025-02-25,449.28,8000,80.0,Agente,Manta,Vigente
POL00094,A00063,Generales,2024-03-07,2025-03-07,884.1,12000,120.0,Bróker,Loja,Vigente
POL00095,A00064,Vehículos,2024-02-20,2025-02-19,468.4,8000,80.0,Sucursal,Guayaquil,Vigente
POL00096,A00065,Salud,2024-10-12,2025-10-12,1346.11,20000,200.0,Call Center,Guayaquil,Vigente
POL00097,A00066,Salud,2024-12-25,2025-12-25,2567.69,50000,500.0,Agente,Cuenca,Vigente
POL00098,A00066,Vehículos,2024-04-02,2025-04-02,1502.34,30000,300.0,Digital,Cuenca,Vigente
POL00099,A00067,Vehículos,2024-08-23,2025-08-23,567.08,15000,150.0,Digital,Manta,Vigente
POL00100,A00068,Vehículos,2024-12-23,2025-12-23,451.92,12000,120.0,Sucursal,Riobamba,Vigente
POL00101,A00069,Vehículos,2024-10-21,2025-10-21,285.01,8000,80.0,Sucursal,Guayaquil,Vigente
POL00102,A00069,Vida,2024-04-18,2025-04-18,687.85,12000,120.0,Digital,Guayaquil,Vigente
POL00103,A00070,Salud,2024-03-13,2025-03-13,3246.89,50000,500.0,Agente,Portoviejo,Vigente
POL00104,A00070,Vehículos,2024-12-05,2025-12-05,965.22,30000,300.0,Bróker,Portoviejo,Vigente
POL00105,A00071,Vida,2024-01-10,2025-01-09,963.23,15000,150.0,Digital,Machala,Vigente
POL00106,A00071,Salud,2024-04-30,2025-04-30,1313.82,30000,300.0,Agente,Machala,Vigente
POL00107,A00072,Generales,2024-01-16,2025-01-15,2323.67,30000,300.0,Bróker,Manta,Vigente
POL00108,A00072,Vehículos,2024-07-20,2025-07-20,1843.15,50000,500.0,Sucursal,Manta,Vigente
POL00109,A00073,Vehículos,2024-04-04,2025-04-04,544.98,8000,80.0,Call Center,Manta,Vigente
POL00110,A00074,Generales,2024-09-07,2025-09-07,2312.24,50000,500.0,Sucursal,Manta,Vigente
POL00111,A00074,Generales,2024-08-06,2025-08-06,1376.21,20000,200.0,Call Center,Manta,Vigente
POL00112,A00075,Vida,2024-07-20,2025-07-20,2308.71,30000,300.0,Call Center,Portoviejo,Vigente
POL00113,A00075,Salud,2024-09-25,2025-09-25,3689.46,50000,500.0,Agente,Portoviejo,Vigente
POL00114,A00076,Vehículos,2024-01-22,2025-01-21,671.22,12000,120.0,Sucursal,Portoviejo,Vigente
POL00115,A00077,Vehículos,2024-12-20,2025-12-20,3767.91,50000,500.0,Bróker,Loja,Vigente
POL00116,A00078,Generales,2024-10-05,2025-10-05,483.19,8000,80.0,Sucursal,Quito,Vigente
POL00117,A00078,Vehículos,2024-10-28,2025-10-28,2689.28,50000,500.0,Sucursal,Quito,Vigente
POL00118,A00079,Generales,2024-08-06,2025-08-06,997.39,30000,300.0,Sucursal,Machala,Vigente
POL00119,A00079,Vehículos,2024-12-21,2025-12-21,696.91,15000,150.0,Sucursal,Machala,Vigente
POL00120,A00080,Vehículos,2024-04-13,2025-04-13,2204.07,50000,500.0,Agente,Ambato,Vigente
POL00121,A00081,Vehículos,2024-01-16,2025-01-15,1187.71,15000,150.0,Call Center,Cuenca,Vigente
POL00122,A00082,Vida,2024-09-25,2025-09-25,1031.65,15000,150.0,Bróker,Manta,Vigente
POL00123,A00082,Vida,2024-02-20,2025-02-19,1915.08,30000,300.0,Bróker,Manta,Vigente
POL00124,A00083,Vida,2024-08-23,2025-08-23,1313.68,20000,200.0,Call Center,Santo Domingo,Vigente
POL00125,A00084,Vehículos,2024-01-23,2025-01-22,3620.31,50000,500.0,Agente,Manta,Vigente
POL00126,A00085,Vehículos,2024-06-22,2025-06-22,1565.47,30000,300.0,Bróker,Loja,Vigente
POL00127,A00086,Vida,2024-06-15,2025-06-15,1087.51,20000,200.0,Agente,Machala,Vigente
POL00128,A00086,Vehículos,2024-06-28,2025-06-28,1061.24,20000,200.0,Bróker,Machala,Vigente
POL00129,A00087,Generales,2024-03-31,2025-03-31,1166.91,15000,150.0,Agente,Quito,Vigente
POL00130,A00088,Salud,2024-11-01,2025-11-01,927.41,20000,200.0,Agente,Quito,Vigente
POL00131,A00089,Vehículos,2024-03-12,2025-03-12,2254.88,30000,300.0,Agente,Loja,Vigente
POL00132,A00090,Vida,2024-07-26,2025-07-26,1035.19,20000,200.0,Bróker,Riobamba,Vigente
POL00133,A00090,Salud,2024-08-31,2025-08-31,472.94,12000,120.0,Sucursal,Riobamba,Vigente
POL00134,A00091,Generales,2024-03-19,2025-03-19,1198.09,15000,150.0,Bróker,Quito,Vigente
POL00135,A00091,Vehículos,2024-02-06,2025-02-05,1539.27,50000,500.0,Sucursal,Quito,Vigente
POL00136,A00092,Vehículos,2024-02-10,2025-02-09,2234.87,30000,300.0,Agente,Loja,Vigente
POL00137,A00092,Vehículos,2024-05-22,2025-05-22,549.4,15000,150.0,Digital,Loja,Vigente
POL00138,A00093,Vehículos,2024-08-31,2025-08-31,3870.63,50000,500.0,Call Center,Guayaquil,Vigente
POL00139,A00093,Vehículos,2024-02-04,2025-02-03,404.5,8000,80.0,Call Center,Guayaquil,Vigente
POL00140,A00094,Vehículos,2024-06-19,2025-06-19,343.3,8000,80.0,Digital,Machala,Vigente
POL00141,A00095,Vehículos,2024-07-25,2025-07-25,3452.34,50000,500.0,Agente,Ambato,Vigente
POL00142,A00095,Vehículos,2024-10-30,2025-10-30,653.54,12000,120.0,Agente,Ambato,Vigente
POL00143,A00096,Generales,2024-02-02,2025-02-01,285.67,8000,80.0,Call Center,Loja,Vigente
POL00144,A00097,Vehículos,2024-04-13,2025-04-13,937.34,20000,200.0,Sucursal,Ambato,Vigente
POL00145,A00098,Vehículos,2024-08-31,2025-08-31,1817.23,50000,500.0,Bróker,Santo Domingo,Vigente
POL00146,A00098,Hogar,2024-01-28,2025-01-27,2410.48,50000,500.0,Bróker,Santo Domingo,Vigente
POL00147,A00099,Vehículos,2024-11-11,2025-11-11,643.32,20000,200.0,Agente,Cuenca,Vigente
POL00148,A00099,Vehículos,2024-03-10,2025-03-10,1319.82,20000,200.0,Digital,Cuenca,Vigente
POL00149,A00100,Generales,2024-10-29,2025-10-29,908.25,12000,120.0,Agente,Guayaquil,Vigente
POL00150,A00101,Hogar,2024-01-21,2025-01-20,1333.48,20000,200.0,Call Center,Cuenca,Vigente
POL00151,A00101,Vehículos,2024-09-28,2025-09-28,1079.27,20000,200.0,Agente,Cuenca,Vigente
POL00152,A00102,Salud,2024-11-09,2025-11-09,1762.84,30000,300.0,Bróker,Riobamba,Vigente
POL00153,A00102,Vida,2024-02-11,2025-02-10,2221.27,30000,300.0,Agente,Riobamba,Vigente
POL00154,A00103,Generales,2024-02-26,2025-02-25,965.59,20000,200.0,Call Center,Loja,Vigente
POL00155,A00103,Vehículos,2024-07-06,2025-07-06,748.9,12000,120.0,Agente,Loja,Vigente
POL00156,A00104,Vehículos,2024-02-09,2025-02-08,305.91,8000,80.0,Agente,Quito,Vigente
POL00157,A00105,Hogar,2024-01-25,2025-01-24,571.87,12000,120.0,Sucursal,Portoviejo,Vigente
POL00158,A00105,Hogar,2024-11-12,2025-11-12,787.09,12000,120.0,Digital,Portoviejo,Vigente
POL00159,A00106,Hogar,2024-12-28,2025-12-28,3761.78,50000,500.0,Bróker,Guayaquil,Vigente
POL00160,A00107,Vehículos,2024-01-22,2025-01-21,880.89,15000,150.0,Sucursal,Santo Domingo,Vigente
POL00161,A00108,Vehículos,2024-07-24,2025-07-24,2161.32,30000,300.0,Sucursal,Cuenca,Vigente
POL00162,A00109,Vehículos,2024-08-15,2025-08-15,3981.49,50000,500.0,Sucursal,Manta,Vigente
POL00163,A00110,Vehículos,2024-01-02,2025-01-01,517.61,12000,120.0,Sucursal,Manta,Vigente
POL00164,A00110,Vehículos,2024-11-21,2025-11-21,486.54,15000,150.0,Digital,Manta,Vigente
POL00165,A00111,Generales,2024-01-09,2025-01-08,948.21,20000,200.0,Digital,Manta,Vigente
POL00166,A00112,Generales,2024-11-01,2025-11-01,2045.38,30000,300.0,Digital,Cuenca,Vigente
POL00167,A00113,Vida,2024-01-15,2025-01-14,3536.44,50000,500.0,Bróker,Ambato,Vigente
POL00168,A00114,Generales,2024-03-13,2025-03-13,2066.44,50000,500.0,Bróker,Portoviejo,Vigente
POL00169,A00115,Vehículos,2024-02-10,2025-02-09,1290.82,20000,200.0,Agente,Loja,Vigente
POL00170,A00116,Salud,2024-02-04,2025-02-03,567.83,8000,80.0,Agente,Santo Domingo,Vigente
POL00171,A00117,Vida,2024-05-24,2025-05-24,901.0,12000,120.0,Call Center,Loja,Vigente
POL00172,A00118,Hogar,2024-02-20,2025-02-19,912.29,12000,120.0,Sucursal,Santo Domingo,Vigente
POL00173,A00119,Salud,2024-04-04,2025-04-04,1273.53,20000,200.0,Agente,Quito,Vigente
POL00174,A00119,Vehículos,2024-06-30,2025-06-30,1024.09,20000,200.0,Call Center,Quito,Vigente
POL00175,A00120,Salud,2024-07-21,2025-07-21,1122.66,20000,200.0,Agente,Cuenca,Vigente
POL00176,A00120,Vehículos,2024-07-21,2025-07-21,1295.04,20000,200.0,Agente,Cuenca,Vigente
POL00177,A00121,Salud,2024-04-01,2025-04-01,1204.58,20000,200.0,Digital,Loja,Vigente
POL00178,A00121,Vehículos,2024-11-14,2025-11-14,1044.5,30000,300.0,Agente,Loja,Vigente
POL00179,A00122,Salud,2024-12-16,2025-12-16,1758.32,30000,300.0,Sucursal,Guayaquil,Vigente
POL00180,A00122,Salud,2024-03-21,2025-03-21,983.61,30000,300.0,Digital,Guayaquil,Vigente
POL00181,A00123,Salud,2024-07-12,2025-07-12,1914.73,30000,300.0,Digital,Cuenca,Vigente
POL00182,A00123,Vehículos,2024-01-15,2025-01-14,967.68,30000,300.0,Digital,Cuenca,Vigente
POL00183,A00124,Salud,2024-06-11,2025-06-11,1170.35,20000,200.0,Digital,Ambato,Vigente
POL00184,A00124,Salud,2024-09-07,2025-09-07,516.35,8000,80.0,Bróker,Ambato,Vigente
POL00185,A00125,Vehículos,2024-12-07,2025-12-07,574.97,15000,150.0,Digital,Manta,Vigente
POL00186,A00125,Salud,2024-10-07,2025-10-07,888.54,12000,120.0,Call Center,Manta,Vigente
POL00187,A00126,Salud,2024-04-19,2025-04-19,3905.29,50000,500.0,Sucursal,Quito,Vigente
POL00188,A00127,Hogar,2024-09-29,2025-09-29,2179.16,30000,300.0,Sucursal,Guayaquil,Vigente
POL00189,A00127,Hogar,2024-11-16,2025-11-16,448.91,8000,80.0,Digital,Guayaquil,Vigente
POL00190,A00128,Vehículos,2024-03-18,2025-03-18,3213.27,50000,500.0,Digital,Ambato,Vigente
POL00191,A00128,Salud,2024-11-25,2025-11-25,625.51,8000,80.0,Sucursal,Ambato,Vigente
POL00192,A00129,Vehículos,2024-02-12,2025-02-11,901.2,15000,150.0,Agente,Santo Domingo,Vigente
POL00193,A00130,Salud,2024-02-27,2025-02-26,859.31,15000,150.0,Sucursal,Santo Domingo,Vigente
POL00194,A00130,Salud,2024-05-22,2025-05-22,577.8,12000,120.0,Digital,Santo Domingo,Vigente
POL00195,A00131,Vehículos,2024-11-06,2025-11-06,576.59,8000,80.0,Agente,Riobamba,Vigente
POL00196,A00131,Vehículos,2024-02-03,2025-02-02,765.65,15000,150.0,Call Center,Riobamba,Vigente
POL00197,A00132,Hogar,2024-10-19,2025-10-19,372.44,12000,120.0,Agente,Guayaquil,Vigente
POL00198,A00132,Hogar,2024-11-27,2025-11-27,1839.94,30000,300.0,Agente,Guayaquil,Vigente
POL00199,A00133,Vehículos,2024-12-25,2025-12-25,389.87,12000,120.0,Call Center,Loja,Vigente
POL00200,A00133,Vehículos,2024-08-18,2025-08-18,581.78,12000,120.0,Sucursal,Loja,Vigente
POL00201,A00134,Generales,2024-03-08,2025-03-08,366.93,8000,80.0,Call Center,Guayaquil,Vigente
POL00202,A00134,Vehículos,2024-05-13,2025-05-13,365.31,8000,80.0,Bróker,Guayaquil,Vigente
POL00203,A00135,Vehículos,2024-02-27,2025-02-26,3667.2,50000,500.0,Agente,Riobamba,Vigente
POL00204,A00135,Salud,2024-06-17,2025-06-17,502.47,8000,80.0,Sucursal,Riobamba,Vigente
POL00205,A00136,Hogar,2024-10-18,2025-10-18,486.82,12000,120.0,Agente,Machala,Vigente
POL00206,A00136,Generales,2024-05-24,2025-05-24,1048.61,15000,150.0,Agente,Machala,Vigente
POL00207,A00137,Vehículos,2024-05-10,2025-05-10,504.05,12000,120.0,Sucursal,Quito,Vigente
POL00208,A00137,Vehículos,2024-06-23,2025-06-23,1276.44,20000,200.0,Bróker,Quito,Vigente
POL00209,A00138,Vehículos,2024-12-04,2025-12-04,779.55,20000,200.0,Bróker,Machala,Vigente
POL00210,A00139,Vehículos,2024-02-27,2025-02-26,518.41,8000,80.0,Bróker,Cuenca,Vigente
POL00211,A00140,Vida,2024-11-01,2025-11-01,2885.76,50000,500.0,Digital,Santo Domingo,Vigente
POL00212,A00140,Vehículos,2024-07-23,2025-07-23,1113.36,20000,200.0,Call Center,Santo Domingo,Vigente
POL00213,A00141,Vida,2024-03-23,2025-03-23,1210.81,30000,300.0,Agente,Guayaquil,Vigente
POL00214,A00141,Salud,2024-03-07,2025-03-07,479.69,12000,120.0,Call Center,Guayaquil,Vigente
POL00215,A00142,Vehículos,2024-07-31,2025-07-31,903.65,20000,200.0,Bróker,Riobamba,Vigente
POL00216,A00142,Vehículos,2024-11-18,2025-11-18,588.35,8000,80.0,Digital,Riobamba,Vigente
POL00217,A00143,Vehículos,2024-07-28,2025-07-28,1551.84,20000,200.0,Call Center,Santo Domingo,Vigente
POL00218,A00143,Vehículos,2024-06-03,2025-06-03,254.79,8000,80.0,Digital,Santo Domingo,Vigente
POL00219,A00144,Generales,2024-10-24,2025-10-24,1971.97,30000,300.0,Call Center,Machala,Vigente
POL00220,A00145,Vehículos,2024-05-25,2025-05-25,3461.97,50000,500.0,Call Center,Portoviejo,Vigente
POL00221,A00146,Salud,2024-09-05,2025-09-05,2644.28,50000,500.0,Call Center,Ambato,Vigente
POL00222,A00147,Salud,2024-08-21,2025-08-21,632.61,20000,200.0,Bróker,Santo Domingo,Vigente
POL00223,A00148,Hogar,2024-03-01,2025-03-01,2178.48,30000,300.0,Agente,Guayaquil,Vigente
POL00224,A00148,Vehículos,2024-10-19,2025-10-19,480.21,15000,150.0,Bróker,Guayaquil,Vigente
POL00225,A00149,Vida,2024-12-07,2025-12-07,748.98,20000,200.0,Digital,Manta,Vigente
POL00226,A00149,Vehículos,2024-11-15,2025-11-15,3058.97,50000,500.0,Sucursal,Manta,Vigente
POL00227,A00150,Vehículos,2024-01-13,2025-01-12,1376.07,30000,300.0,Digital,Portoviejo,Vigente
POL00228,A00150,Salud,2024-05-01,2025-05-01,1108.62,20000,200.0,Call Center,Portoviejo,Vigente
POL00229,A00151,Hogar,2024-05-17,2025-05-17,367.33,8000,80.0,Call Center,Machala,Vigente
POL00230,A00151,Vehículos,2024-09-04,2025-09-04,403.0,8000,80.0,Bróker,Machala,Vigente
POL00231,A00152,Vehículos,2024-09-30,2025-09-30,1004.9,30000,300.0,Agente,Manta,Vigente
POL00232,A00152,Vehículos,2024-12-09,2025-12-09,1272.25,20000,200.0,Digital,Manta,Vigente
POL00233,A00153,Vehículos,2024-04-09,2025-04-09,3347.04,50000,500.0,Call Center,Guayaquil,Vigente
POL00234,A00153,Vehículos,2024-02-11,2025-02-10,2111.51,30000,300.0,Bróker,Guayaquil,Vigente
POL00235,A00154,Vida,2024-02-01,2025-01-31,654.79,20000,200.0,Call Center,Santo Domingo,Vigente
POL00236,A00155,Vehículos,2024-12-12,2025-12-12,463.7,8000,80.0,Digital,Guayaquil,Vigente
POL00237,A00155,Vehículos,2024-03-06,2025-03-06,888.39,15000,150.0,Call Center,Guayaquil,Vigente
POL00238,A00156,Vehículos,2024-01-22,2025-01-21,819.41,20000,200.0,Agente,Cuenca,Vigente
POL00239,A00157,Vehículos,2024-10-10,2025-10-10,467.12,12000,120.0,Agente,Manta,Vigente
POL00240,A00158,Vehículos,2024-05-23,2025-05-23,870.9,12000,120.0,Call Center,Cuenca,Vigente
POL00241,A00159,Hogar,2024-07-10,2025-07-10,862.91,15000,150.0,Bróker,Riobamba,Vigente
POL00242,A00160,Vehículos,2024-09-22,2025-09-22,622.63,15000,150.0,Agente,Machala,Vigente
POL00243,A00161,Vehículos,2024-12-11,2025-12-11,637.52,15000,150.0,Digital,Guayaquil,Vigente
POL00244,A00162,Vehículos,2024-10-22,2025-10-22,543.34,12000,120.0,Agente,Riobamba,Vigente
POL00245,A00163,Vehículos,2024-12-18,2025-12-18,1632.92,30000,300.0,Bróker,Riobamba,Vigente
POL00246,A00164,Vehículos,2024-01-04,2025-01-03,627.44,12000,120.0,Sucursal,Portoviejo,Vigente
POL00247,A00164,Hogar,2024-10-10,2025-10-10,638.13,8000,80.0,Agente,Portoviejo,Vigente
POL00248,A00165,Salud,2024-06-15,2025-06-15,1050.94,20000,200.0,Digital,Santo Domingo,Vigente
POL00249,A00166,Salud,2024-08-24,2025-08-24,269.28,8000,80.0,Sucursal,Manta,Vigente
POL00250,A00167,Vehículos,2024-07-23,2025-07-23,598.0,12000,120.0,Agente,Ambato,Vigente
POL00251,A00167,Vehículos,2024-12-11,2025-12-11,1224.25,30000,300.0,Agente,Ambato,Vigente
POL00252,A00168,Salud,2024-10-04,2025-10-04,1538.92,20000,200.0,Agente,Cuenca,Vigente
POL00253,A00169,Vehículos,2024-07-01,2025-07-01,580.22,15000,150.0,Sucursal,Cuenca,Vigente
