placa,chasis,motor,marca,modelo,anio,id_asegurado,id_poliza
ZZP-1894,AL978LE8XSYUD9R12,SF655F85XH,Toyota,Hilux,2019,A00029,POL00043
VSS-5990,9P6Y0DR6Y705HGRAY,ZV0GCL8J3G,Kia,Rio,2016,A00030,POL00044
BVJ-1761,H569J8AD479MMJG1X,913SU2YV5J,Mazda,CX-5,2014,A00031,POL00045
PPU-6281,HZ73V4AGB1KDDNULV,TKDVPCZ5GR,Toyota,Hilux,2023,A00033,POL00048
JJV-6122,DATN5R0NNV5MEMM9H,1C4UTJLTAY,Renault,Duster,2019,A00034,POL00049
TII-6911,VP7AHZ5SSCX1H1TVB,09958CVNX9,Hyundai,Tucson,2013,A00037,POL00054
TTV-4492,4GP4EKB6YCFEDMTER,T31524XB1H,Hyundai,Tucson,2020,A00038,POL00055
CUJ-9941,VKW0AKHCA2FWPZP39,KLMRTNHMD6,Hyundai,Tucson,2022,A00041,POL00059
IIC-4842,GVENX85YWK0X4LAXS,R4U0JY765Z,Volkswagen,Gol,2024,A00042,POL00060
ZZC-9824,NTEEB9B2PCT7K02RV,J699F209AS,Nissan,Versa,2024,A00043,POL00061
IAG-8989,RET0RCP0176CCXGUT,M110ET1R2Z,Volkswagen,Gol,2017,A00044,POL00063
CGB-9430,UPKML0HR3YH777PL3,BSCJLJ9CKD,Volkswagen,Gol,2014,A00044,POL00064
GJJ-3166,GBN93KGM7C9HF7JA4,30C4R71ZG4,Kia,Rio,2014,A00047,POL00069
HGA-1116,HA1PX30GK4TT40U2P,37M07TWZ2J,Renault,Duster,2022,A00047,POL00070
SJB-2049,TR0FC12VDM85ANVNC,9RLC0SALFU,Volkswagen,Gol,2024,A00050,POL00073
UUB-2477,VZZURN62ATM39GE9V,YH9TT517SY,Chevrolet,Sail,2024,A00051,POL00074
HBJ-4610,RX3ZATSVF2YEM7XZP,UMN8NSSTPR,Kia,Rio,2015,A00051,POL00075
APV-7933,7C9Z2M6H6XAAP1GX0,TMTSU7Y0M8,Toyota,Hilux,2018,A00055,POL00079
OCS-3148,RGUS41NKK7AM38JX8,WTD2GLDPT7,Nissan,Versa,2022,A00055,POL00080
IAJ-2986,ZNMVZX985F1V6KLY3,2EFLYRXXVU,Nissan,Versa,2021,A00056,POL00081
JCC-1378,JSTFPL2GGE7DB2FGT,KF1WRSV5JJ,Volkswagen,Gol,2020,A00057,POL00082
SSO-8126,WZ7RF5W03TKWAAJZV,7A87WA4VRA,Toyota,Hilux,2020,A00058,POL00084
UUT-7385,1RTF4SUVU3NEMJVH6,5U8NXBKDBM,Toyota,Hilux,2013,A00058,POL00085
AOG-6601,3W806CYFKDU2E7MNT,1AHS15SCN6,Toyota,Hilux,2023,A00059,POL00086
TJI-1246,LUH2SAC7K0FSL8FYD,DZKGJ8RXZ5,Hyundai,Tucson,2023,A00061,POL00090
AOU-8168,V8NMZX6ULEK5VT06A,91MB0SXE1N,Nissan,Versa,2020,A00061,POL00091
PSU-5193,D0REAP8F6D030DUCE,WEPGGR1NNS,Volkswagen,Gol,2021,A00064,POL00095
PSO-6772,XX034XSP1T0552ACV,BJWAWRPXBU,Toyota,Hilux,2020,A00066,POL00098
SGG-5198,WF2PEX7M8GWC1FDYZ,43HRA1DWCX,Mazda,CX-5,2020,A00067,POL00099
VSS-9269,FR4V2KJYF7D2TF294,JJ7N82NSSE,Volkswagen,Gol,2016,A00068,POL00100
IIG-6254,ZBWLZ5K5CRN0KFHDS,KVAYHW57BY,Renault,Duster,2015,A00069,POL00101
HGV-5444,D6AE1U0GBV1R19GX8,FMN96BCSWY,Chevrolet,Sail,2019,A00070,POL00104
JGS-3502,4WY5JPJNJWJ4KLXEH,MXKBX33W5U,Hyundai,Tucson,2014,A00072,POL00108
SSS-4783,RRBZF7J970M187JLN,RC3AU3RNPE,Nissan,Versa,2014,A00073,POL00109
PJP-1807,NV52WV6L4VDK65F9H,MJ23X5BM6N,Chevrolet,Sail,2019,A00076,POL00114
BBU-8362,0F19L11CLYKLKMD3W,W5VMHJNATA,Kia,Rio,2019,A00077,POL00115
BSS-1107,SUPDMKDZCKCWYFDG3,MLVM60CFWX,Volkswagen,Gol,2017,A00078,POL00117
UGS-1953,GF7V4XTZJ888MRVNA,HB6HP33CYZ,Hyundai,Tucson,2020,A00079,POL00119
HPP-6307,AHYY2BMNYY77CJ7K6,Y63DWXBPYZ,Nissan,Versa,2013,A00080,POL00120
SSJ-4070,HWXCU3F8S05WPWMH0,CNF59B79KN,Toyota,Hilux,2017,A00081,POL00121
OAB-9529,WBWPXNNVUX5HUKLUH,A9GPZXUKVS,Mazda,CX-5,2014,A00084,POL00125
OTA-2735,1DF42M5ZWYNF6JF6G,6W67RRKT02,Chevrolet,Sail,2014,A00085,POL00126
VIS-3087,9G2GXEW623SSL71EY,P44YSME8H6,Nissan,Versa,2017,A00086,POL00128
TCO-9704,V15NPXWW4ZFA92JVD,0DAZHVBS42,Toyota,Hilux,2022,A00089,POL00131
CBC-7813,64M69451ZRM4A8S9U,30CC70H7FK,Renault,Duster,2023,A00091,POL00135
OTU-2279,WDYA7697Y3ZVVLCWT,D7LDVBV8FJ,Hyundai,Tucson,2020,A00092,POL00136
ZHA-2827,MK50MTS8MCYFKK831,S5LPZDTHDL,Nissan,Versa,2019,A00092,POL00137
JTU-7390,7TK4AV51XCGZ4UYUU,GT26SNYMXA,Hyundai,Tucson,2022,A00093,POL00138
TOI-4594,VTNCBFDPHHFJ1MHMT,V6E6U4XTLE,Kia,Rio,2016,A00093,POL00139
OBO-4287,2M8GK4PG5TGCEET5B,8KAC1UKY2A,Toyota,Hilux,2020,A00094,POL00140
AJU-8898,HZYW2DF0YF6VNMC1N,W1GZ8F5NJC,Hyundai,Tucson,2015,A00095,POL00141
OPZ-8361,BCYDYC2HP6KRECK8B,7CSJAMDWG6,Nissan,Versa,2021,A00095,POL00142
BTS-9943,JXPCMYEHUK3L0L5SC,JG1LB8FAAM,Mazda,CX-5,2013,A00097,POL00144
POJ-4919,MCM8FWZ3ASNHG09R6,PUDNHK78ML,Nissan,Versa,2022,A00098,POL00145
CVA-8947,9HES5X3NXRHXRGS3N,1RE78D4KP6,Toyota,Hilux,2014,A00099,POL00147
GIC-1525,DUJH663LYRVLLRF38,P76UA4SSX4,Nissan,Versa,2021,A00099,POL00148
OGB-1203,3PJZVSFB7WL6B66J2,M06AE1YCV4,Volkswagen,Gol,2024,A00101,POL00151
CIG-9841,H7PRXZU94UDE0Z589,H7V50EN6FF,Hyundai,Tucson,2018,A00103,POL00155
OCZ-4346,BV3J7Z35BVNEBRY3Y,X856WJWLTR,Toyota,Hilux,2019,A00104,POL00156
ICG-1568,XZK05LWHB28K6XKA9,YV7VK5YH7C,Nissan,Versa,2014,A00107,POL00160
BIA-4197,RUNBF5F92N8X9D02K,4010AVZZW5,Mazda,CX-5,2020,A00108,POL00161
CVU-7944,3JFKPW7YE1FA3U3M6,JNM1V8CWW8,Nissan,Versa,2020,A00109,POL00162
TTH-7834,M8SBHU8E074T7H09B,TLDKX6JZLD,Kia,Rio,2016,A00110,POL00163
PGV-4002,GLXXWU0GZKAJV083Y,LGPK9RNH36,Kia,Rio,2013,A00110,POL00164
AVO-8065,CNGC9D7HTCEWAGHPN,MZBFKUZZL9,Kia,Rio,2024,A00115,POL00169
JBV-6149,H6HJ80VCFX8H1V6W5,R3V4NE70MA,Hyundai,Tucson,2022,A00119,POL00174
BIG-6548,N2HR48UU2Z7289UK6,GHT88RJBGD,Toyota,Hilux,2013,A00120,POL00176
VOG-5809,889TYBC4H15X156CC,MWL84JW18H,Volkswagen,Gol,2021,A00121,POL00178
VUS-1440,Y1G4ZZ3ZDSSSWFEWH,YLBXC6493U,Mazda,CX-5,2012,A00123,POL00182
JGO-2234,PVTDW2RFGYUE74PZE,W9W4XN32T9,Mazda,CX-5,2019,A00125,POL00185
JIZ-2055,P3UVLTS2SHKNBSW68,44CNLUJBTU,Renault,Duster,2022,A00128,POL00190
ITT-2479,2JSH9HT8FSHXY1S4P,KGMPU53TD8,Renault,Duster,2020,A00129,POL00192
HPJ-6067,0HS51A2TWFSWPL5X3,CUF873Y4GL,Hyundai,Tucson,2023,A00131,POL00195
OUA-1853,M5JA2NWXFHLSJ3X57,JTMXVNF30M,Mazda,CX-5,2018,A00131,POL00196
SHC-2459,0LHA468HRPNUV81J4,PPVN3M3KBV,Renault,Duster,2016,A00133,POL00199
AOC-6296,2P14TEGDDYS7ZCAT9,1W20JCMTL9,Kia,Rio,2019,A00133,POL00200
ZZH-6907,4VTTX4LX8K5DNKDRM,C7TL64H8C5,Volkswagen,Gol,2017,A00134,POL00202
BGZ-5654,ML9UPAM3ES8GYBVH2,0GXKBF676U,Mazda,CX-5,2021,A00135,POL00203
AZG-3669,12VKHW84WJZG09N85,17U4F40M44,Kia,Rio,2013,A00137,POL00207
PTT-9596,FV64F7WKJWS4VDEC9,G943G6TZTF,Volkswagen,Gol,2024,A00137,POL00208
ABJ-5876,X65TYMPMFTG4BA2HA,L7628W02WF,Renault,Duster,2014,A00138,POL00209
GOT-3378,S4NFW6K74BHLK587B,5SNV2DYAG4,Chevrolet,Sail,2018,A00139,POL00210
GUA-9655,B4XEU37H8Z54BLVN7,Z5R9RY6JV1,Volkswagen,Gol,2018,A00140,POL00212
AIH-6849,LM9CEY4HRHR8TYZCU,K9GD56HGGC,Chevrolet,Sail,2020,A00142,POL00215
UHU-8233,98GK0YJHN53AS7YV9,LFU030SK3R,Toyota,Hilux,2014,A00142,POL00216
AOC-1162,EFYX2L4D2CKDV32WX,ZAUK25P5Z2,Mazda,CX-5,2024,A00143,POL00217
UUU-3064,VPF9WYLBBTSW49HD0,T9ZHDH5WA6,Renault,Duster,2017,A00143,POL00218
UJP-5057,GXN06GK43FFD4J7P5,E022T84583,Toyota,Hilux,2014,A00145,POL00220
IHI-5968,V8BKK3DWVPM8AHZEC,37W5Y17JJ9,Kia,Rio,2022,A00148,POL00224
JIP-1750,5UFLBWHFNDN79BHMB,UPS5FX2C8B,Hyundai,Tucson,2017,A00149,POL00226
BBP-3755,VKMTFKW3LDXMBDW1G,XK3XT1HDNS,Kia,Rio,2024,A00150,POL00227
HPS-2663,SJW35F9PK0LS45CA6,VLAD7UT1ZP,Chevrolet,Sail,2021,A00151,POL00230
UBZ-3288,U4P9XYT5USXYP6YBJ,A7AAM382FE,Renault,Duster,2020,A00152,POL00231
ZSI-7336,MAH60N5ARBUZNFWRR,80CU8PAN2H,Renault,Duster,2016,A00152,POL00232
BSC-2065,JTRUNBT6A4DX43UH6,80CRDU35XA,Toyota,Hilux,2018,A00153,POL00233
BGG-3694,YWEGB74BYTSG7SYDY,SE5G5HFDC1,Renault,Duster,2017,A00153,POL00234
JBS-7735,RA6164GYB6YNGGAEN,J9TZ375MSJ,Renault,Duster,2024,A00155,POL00236
HSP-3385,K7WYV0AKDS9D4ZNNN,EYN76YYW3Y,Mazda,CX-5,2014,A00155,POL00237
UGO-4492,S7Y1P2MA0AEZBHKV5,N0CBNNVMRT,Hyundai,Tucson,2023,A00156,POL00238
ZHB-1343,J1HYPW6S00L4EHKJN,N10X4SCNVK,Toyota,Hilux,2017,A00157,POL00239
GUB-8711,EL919086MX0787U2C,PRN5S2PW41,Volkswagen,Gol,2021,A00158,POL00240
PSI-7981,564308XU1BM5RTEZF,V99FURGHE0,Volkswagen,Gol,2012,A00160,POL00242
USC-9898,TAWVZ22A79K2RRP7R,66YFXN43P5,Hyundai,Tucson,2019,A00161,POL00243
VTZ-6810,YR342WXBCJKY21P2E,1N7GY5WFLG,Volkswagen,Gol,2022,A00162,POL00244
BJH-4373,RVE6D0ALX32LHJ37E,1PJPW47LWN,Hyundai,Tucson,2020,A00163,POL00245
PIS-9043,66CFV6ZW2M3SM461M,G2CSLUVEP8,Hyundai,Tucson,2018,A00164,POL00246
BUC-6359,686EFS5J7ULLBGMVH,2LEAUK5ZMP,Nissan,Versa,2023,A00167,POL00250
JUH-8274,DAD1NS0SNFB3BAYNE,RGLLC39GXX,Kia,Rio,2020,A00167,POL00251
AJG-8516,REU0CEP3W8GLTGX1J,YMX7EYB519,Mazda,CX-5,2022,A00169,POL00253
IOH-4309,K1PCS5YJUXC3VBRYY,SPDSR1XM5A,Toyota,Hilux,2013,A00171,POL00255
CBC-9992,PS9F46WLNS4MSWV5N,U7F021L754,Hyundai,Tucson,2020,A00172,POL00256
UOG-3535,NAA908232018WE3CH,1LN4TZ980D,Toyota,Hilux,2022,A00175,POL00260
ZIT-1462,KT6KTSLAHF12FN4L4,TW91W3FGZK,Chevrolet,Sail,2016,A00175,POL00261
UJC-3890,0MJN8M9H5PMNDMNT3,5GLFVF1HUE,Nissan,Versa,2017,A00177,POL00263
AHV-1118,CGPA1U87Y4Y0YXS02,1DZYGA62JB,Chevrolet,Sail,2021,A00177,POL00264
TGA-6278,B0CX5R82FZ47G1VNK,9CJ8FW6L5H,Renault,Duster,2019,A00179,POL00266
VHG-5220,7HJ8FYREY114RRTHV,FHFYNH0JX1,Renault,Duster,2021,A00180,POL00268
IVI-3069,RG2A6XKVR86KVKCXW,9HU7P8V1DY,Renault,Duster,2014,A00181,POL00269
CIV-1886,W6LJ57VKPPNA0GK14,LDGZ7MDH9Y,Kia,Rio,2021,A00184,POL00274
TUJ-2468,61U50AHHFH89RB7UG,M174WJGXEM,Toyota,Hilux,2018,A00185,POL00276
VVG-2922,MMA5XHCJPLFTCFH9W,0L4ASWCV5J,Kia,Rio,2021,A00186,POL00277
GCH-4526,JPZUJ4ETT1L26FT4K,PEUN09L3KX,Chevrolet,Sail,2024,A00187,POL00279
TPJ-2080,YF0YUKRUAG1R1GHMW,8GZVUGDLX1,Kia,Rio,2014,A00188,POL00280
SCH-1155,9KJK1UD0S36M5Z69V,U4RWFW3XFF,Volkswagen,Gol,2013,A00188,POL00281
JAS-4115,A4ZSC5LRME0J9ZD48,1L0HYSHVW7,Kia,Rio,2016,A00190,POL00284
OSZ-8999,DZA6YWZGAZM2ZAG48,NF9K3H8AKT,Chevrolet,Sail,2015,A00191,POL00285
BOT-8198,LJZ4AZNHNVCJ23YCL,N7UH388JX2,Nissan,Versa,2020,A00191,POL00286
VTG-1852,Y4A47VV8F4SK9MSUH,TS4N7G9MNK,Chevrolet,Sail,2015,A00192,POL00287
JAS-4270,FD13WRRY47D94DWHU,0UZ3SXDMCA,Toyota,Hilux,2012,A00192,POL00288
CHO-6956,YWHGAJY000SUP1FGJ,HCNN5GEYW7,Renault,Duster,2024,A00193,POL00289
VZZ-6690,05H4E739BLUJVCDN2,89EL59112U,Nissan,Versa,2015,A00193,POL00290
PUU-9602,TWRVUHLRCSVCKUJUD,SPHAZ0XFTJ,Volkswagen,Gol,2018,A00194,POL00291
UHC-5194,BG1TP5RXUP2K5R40K,7F8M6MMN8M,Hyundai,Tucson,2022,A00195,POL00292
BCB-7986,S62GJAG11BHACJSFU,KAAGYFNJ75,Hyundai,Tucson,2014,A00195,POL00293
AZA-2684,VG93KARBR41KZVR1H,8LHRGVZEYH,Kia,Rio,2017,A00196,POL00294
BSJ-5562,KFXJM1ZX8473YJS13,88R1F3RFS0,Kia,Rio,2012,A00199,POL00300
OCZ-7898,SPRDJHK1B40DGE7LB,K0KFSEA3KM,Nissan,Versa,2019,A00201,POL00302
AJZ-7940,6T9WR4LUF1JP2DR2M,E67X21LD04,Toyota,Hilux,2015,A00203,POL00305
GHC-9873,GEPAWNNCSUFC7CDXF,WAZV29NX2Z,Chevrolet,Sail,2014,A00204,POL00306
VTT-3307,L9Y5JYV04C1SPEK8G,AKWF8G6XLV,Hyundai,Tucson,2014,A00206,POL00310
HOH-8242,JH8C0V23J509X0F39,5TCDSAKGV1,Volkswagen,Gol,2014,A00207,POL00311
BCU-2775,24N2YEXY8P7HU6CK7,KPXC1D047P,Kia,Rio,2012,A00208,POL00313
PGT-5250,MDF4YWLNZ377L4Z1A,NEKXXAK6K8,Renault,Duster,2017,A00210,POL00315
SJG-6703,PNA00BWW9H8633ZZ4,YHM640ML41,Toyota,Hilux,2016,A00212,POL00318
THZ-7891,PR61HN7HZ632A0R9V,UTW3SA3CAB,Chevrolet,Sail,2014,A00214,POL00321
IPC-8166,RGJ9H2TLXPFFB4AKB,F1BJ6ZMSRW,Renault,Duster,2015,A00217,POL00325
OZI-4407,2G8B3E8EP31X5LMWA,MCHYZ7ALTH,Kia,Rio,2015,A00219,POL00329
UUC-5384,U7NFZV68492NTMNU2,GWLP8454UX,Kia,Rio,2021,A00221,POL00331
TZB-8363,LC9T3VZ2BHMX4MZSE,P00KXHAXAY,Mazda,CX-5,2015,A00221,POL00332
USV-2225,34XXNND88CU3HH5LX,1SBVBA6VJ2,Nissan,Versa,2012,A00222,POL00334
HIV-6665,2FX8D2W68H0GBRDAJ,GX4RLFN0AD,Nissan,Versa,2016,A00223,POL00335
HUC-3257,6HJXK35HS78UX7RFT,VFZSPEE8DP,Renault,Duster,2012,A00224,POL00336
ZSV-9644,9XW6K9GJR0159N2NE,U4LWGK6GHS,Hyundai,Tucson,2012,A00225,POL00337
HBP-2377,Z4PK2949YD5U0GD14,NVN2MU84GD,Mazda,CX-5,2022,A00226,POL00338
GBP-2655,UR222GRU8PLPZVVAG,M97WSLXELM,Nissan,Versa,2017,A00226,POL00339
CHB-3797,AZ7A8S7HCBVR9LKGG,WY58ZT8T06,Chevrolet,Sail,2012,A00227,POL00340
JZG-3320,Z8BS40PFN1GU5MTZY,23UWNCYH46,Toyota,Hilux,2021,A00228,POL00342
ZSB-1871,8WA4ZADTJZV9KFUKN,4FVRC7ZS14,Nissan,Versa,2018,A00230,POL00346
TVG-5096,J3NWWFW6M14GJ5X9Z,6Z46336BB3,Toyota,Hilux,2013,A00231,POL00348
CJT-1097,66DFDUGYGV7YDH9DP,K8JRKWWA8N,Renault,Duster,2013,A00232,POL00350
GGB-8761,B952DHW27MST5H4KB,MKSL9N77VV,Kia,Rio,2022,A00232,POL00351
SHA-8282,CZJ66UALZ99PZ19EM,KZY6JUW2E7,Chevrolet,Sail,2018,A00234,POL00354
VGV-4876,GM13EDTHCE50BMXG5,1JNNT85VRN,Mazda,CX-5,2023,A00236,POL00358
GAV-3302,A03EYM8NP79ZZJE54,1EFJWGH8RD,Kia,Rio,2021,A00237,POL00359
ZZC-5719,ES9W2DH7TBCY3TNYD,JPYDS8ECZE,Kia,Rio,2018,A00238,POL00360
TIJ-8824,WRBDBN1B7D11J44JH,5H0ZNY4DSR,Hyundai,Tucson,2013,A00239,POL00362
ZAB-1928,J5MVCXZSVJ27HEETP,8ZR5W0VSUX,Hyundai,Tucson,2023,A00240,POL00363
BGC-9535,RWPH0KCS56HB8CUU1,WFDU18B115,Nissan,Versa,2012,A00241,POL00364
APV-6698,BYTPBY44DG1V64TL1,6SJAUUFSVY,Nissan,Versa,2021,A00242,POL00365
BHS-6259,TM56B5A6CZ7P3DFUX,E5MTUT8JRM,Chevrolet,Sail,2014,A00243,POL00366
PUA-4845,ZGE95H9ESPX03E4VK,BX0Y307VBL,Mazda,CX-5,2017,A00245,POL00369
VIP-9326,ZP1CK1FER93HD75XU,NVSYS0R6XH,Hyundai,Tucson,2023,A00246,POL00370
ITO-4774,53RJS3JTVYXHF339K,8NM6ALH3T7,Kia,Rio,2023,A00247,POL00371
CPZ-9672,14ZJ2SVHYYGCEZ535,4V7JM9FKA0,Kia,Rio,2022,A00248,POL00372
VBG-5871,8YD94VX1XMKCP4UXG,ZVLHVU85RL,Nissan,Versa,2016,A00249,POL00373
SAP-9813,NA8B0PV45J6VHH548,TFJUHZFREX,Chevrolet,Sail,2014,A00250,POL00375
GCS-7163,RNT7K8M8VJNFPA4E8,PMC3T1SZ7M,Chevrolet,Sail,2016,A00252,POL00378
COI-2860,Z2J783SBVU9P3DXTX,32542TDU8R,Kia,Rio,2017,A00253,POL00381
VTB-6401,JBB1FYZEDP0NL2RVL,0Y3PSACBG9,Hyundai,Tucson,2018,A00254,POL00382
HUB-7190,2JUFEE93BAKG2NWX4,9BWU6NGT71,Chevrolet,Sail,2016,A00255,POL00383
UPP-5007,1B820G5RB2R507GWY,KFGLP8SFK2,Nissan,Versa,2021,A00255,POL00384
IUS-7660,AUP88XSX679FG4E1J,ALHLN5HC48,Chevrolet,Sail,2014,A00256,POL00386
JHU-5441,X0LKVP0T76PYJL7AX,3MK7EAWNNG,Kia,Rio,2020,A00257,POL00387
BIT-4703,ZANUV4W02TNEKGPUM,TGJ1YU7PLA,Toyota,Hilux,2024,A00257,POL00388
PVB-4944,2117ZWXFPLUK458TH,4ZMB06Z4PN,Nissan,Versa,2018,A00259,POL00391
ASH-6381,G0T9AUCU72CTUDB76,8M7GC0BKMJ,Hyundai,Tucson,2013,A00260,POL00392
BZP-5546,NBYXL0A23DEN9KUFM,5CUN93MAWU,Mazda,CX-5,2020,A00260,POL00393
BBB-3990,FMXBLAP06FSWNJWD1,VMUJX3RNUN,Volkswagen,Gol,2014,A00261,POL00394
ZTT-3793,C1KP4ZVPY9UF9PTP6,TCHM7J6X01,Volkswagen,Gol,2022,A00262,POL00396
IHC-8648,MB56427ST0Y72WCR9,G34U2BL9LW,Toyota,Hilux,2021,A00263,POL00398
HBC-4869,P4FSK0A7LZG72P716,SG1JXJ2XV4,Nissan,Versa,2021,A00266,POL00401
GSC-4852,00Y9A2ERJ8NCPW4FY,1M4KVW17CT,Chevrolet,Sail,2018,A00266,POL00402
ITU-2661,2ALXJ916A824DW4TH,5907Y0HM41,Kia,Rio,2022,A00267,POL00403
JAO-5615,CH860D0T4YVBUMVZ3,B5XWCHZC2S,Volkswagen,Gol,2014,A00268,POL00404
PUB-6534,W42BMTF4HNTW9SD07,P4UMU9C2MV,Renault,Duster,2016,A00271,POL00408
HOS-6212,GRRBXREV63Y17AYYX,Z5K68PL1T2,Nissan,Versa,2012,A00271,POL00409
SSC-6761,43BV8S1J1HG2PPHVM,L23ZP3UX0G,Toyota,Hilux,2022,A00273,POL00411
CZC-7554,VAY6MG1333NBRJ9F3,BXSL7F0B19,Volkswagen,Gol,2015,A00274,POL00413
AGS-8555,6S5SM69HYLS6EAC37,1E3THB57DV,Kia,Rio,2024,A00275,POL00415
VGV-5259,YV5Y5TUCJKVBR00VW,LW75VKJKV1,Volkswagen,Gol,2016,A00278,POL00420
HIU-9332,27LZK9X018L7M71AE,YRWPRKUHNZ,Chevrolet,Sail,2019,A00279,POL00421
UUO-3907,CUUFNEJWDPRS76GDX,EN7H5F7NGP,Hyundai,Tucson,2021,A00283,POL00426
VTG-8475,AT3U8MY979VWTSYU9,W5HM8AX978,Volkswagen,Gol,2014,A00284,POL00427
TTP-3992,NGRPW9WX7GWPKXLN2,LLLX73URT7,Mazda,CX-5,2016,A00284,POL00428
HJS-7447,3A2D3ZJ6UBNPTV0BX,41XNP95UGE,Volkswagen,Gol,2015,A00285,POL00429
UUO-5093,U1DGDYU05VH7JEX3K,KWNF5SXTVB,Renault,Duster,2014,A00285,POL00430
SUA-3298,H3428DD90B4C9X8VY,EEFHL9F6NE,Nissan,Versa,2024,A00287,POL00433
STV-6351,6NZKNKPWMGBCJZEXX,RPNWL4URPZ,Hyundai,Tucson,2012,A00290,POL00438
OZU-4417,1D552NP1HFM9HLPH8,ZX3NPF907T,Chevrolet,Sail,2020,A00290,POL00439
CUO-1638,DPV03L3MMKM0HLB8P,W20TXBBYB7,Toyota,Hilux,2012,A00293,POL00444
BBO-8609,35JAW77TJX0G78NJR,9JKRFG2VGS,Renault,Duster,2015,A00295,POL00446
VCI-7914,0KC1DNMAKCSL2XA77,ZN25P6T5HU,Nissan,Versa,2022,A00296,POL00447
VPH-2034,04BJGR6HHVJZW54F9,M29NKRBNZK,Mazda,CX-5,2021,A00297,POL00449
CUH-1005,ETWPED3JK7LS2L32N,SZERUJ2HKP,Mazda,CX-5,2019,A00300,POL00454
BVU-6593,UC1TH64L8VRGF0S84,3DGUUT9Y3T,Toyota,Hilux,2017,A00302,POL00457
SJT-5354,G811CGGGHS032CZ56,C24BPMBYGV,Hyundai,Tucson,2018,A00303,POL00458
PVZ-9966,X2ZM8FYZRXWGF2X8M,1NT8ZY50LL,Hyundai,Tucson,2017,A00305,POL00461
VPP-3914,2ENFF2TKYZ2J1GVFX,R5CSKUB8RR,Nissan,Versa,2015,A00306,POL00462
ZSO-8191,3N3M21T0T400SXZEJ,XSJG97XGRZ,Chevrolet,Sail,2023,A00307,POL00463
SJB-3807,B5DZ7KEZEUTB84J2P,5WWYR93KXA,Volkswagen,Gol,2021,A00308,POL00464
JUO-3269,YMGWZM4T8FMT2NRZF,Y5GTBDD0GL,Renault,Duster,2012,A00312,POL00468
GTS-9162,MPZGK0M5M9K5BCHWV,GZMLG8NKY6,Toyota,Hilux,2022,A00313,POL00470
VJA-6870,D7GFX2NVXJ5NV4241,F8B8GX71W8,Hyundai,Tucson,2024,A00314,POL00472
TIU-1785,BDW1NZD49M90CPG6M,RXEP8PAC1P,Toyota,Hilux,2023,A00315,POL00474
TSU-6074,PU3A331UN8TA2C5JR,EHHL8EMXLT,Renault,Duster,2022,A00318,POL00477
VBJ-4311,F8NJC77GHRC1MFES4,05K5C9NPXC,Kia,Rio,2021,A00319,POL00478
IOG-1924,21KV9ERMNY5B5ESVL,KXDHE3BLX0,Toyota,Hilux,2012,A00319,POL00479
