id_documento,id_siniestro,tipo_documento,entregado,legible,fecha_emision,inconsistencia_detectada,observacion
DOC0000049,SIN000017,Denuncia,True,True,2025-06-24,False,
DOC0000050,SIN000017,Factura,True,True,2025-06-25,False,
DOC0000051,SIN000017,Informe,True,True,2025-06-21,False,
DOC0000052,SIN000018,Denuncia,True,True,2025-09-10,False,
DOC0000053,SIN000018,Factura,True,True,2025-09-10,False,
DOC0000054,SIN000018,Informe,True,True,2025-09-13,False,
DOC0000055,SIN000019,Denuncia,True,True,2024-09-27,False,
DOC0000056,SIN000019,Factura,True,True,2024-09-23,False,
DOC0000057,SIN000019,Informe,True,True,2024-09-25,False,
DOC0000058,SIN000020,Denuncia,True,True,2025-01-02,False,
DOC0000059,SIN000020,Factura,True,True,2024-12-31,False,
DOC0000060,SIN000020,Informe,True,True,2024-12-30,False,
DOC0000061,SIN000021,Denuncia,True,True,2025-01-07,False,
DOC0000062,SIN000021,Factura,True,True,2025-01-05,False,
DOC0000063,SIN000021,Informe,True,True,2025-01-03,False,
DOC0000064,SIN000022,Denuncia,True,True,2025-05-23,False,
DOC0000065,SIN000022,Factura,True,True,2025-05-24,False,
DOC0000066,SIN000022,Informe,True,True,2025-05-23,False,
DOC0000067,SIN000023,Denuncia,True,True,2025-09-19,False,
DOC0000068,SIN000023,Factura,True,True,2025-09-22,False,
DOC0000069,SIN000023,Informe,True,True,2025-09-18,False,
DOC0000070,SIN000024,Denuncia,True,True,2024-11-24,False,
DOC0000071,SIN000024,Factura,True,True,2024-11-22,False,
DOC0000072,SIN000024,Informe,True,True,2024-11-22,False,
DOC0000073,SIN000025,Denuncia,True,True,2024-12-18,False,
DOC0000074,SIN000025,Factura,True,True,2024-12-17,False,
DOC0000075,SIN000025,Informe,True,True,2024-12-17,False,
DOC0000076,SIN000026,Denuncia,True,True,2025-06-14,False,
DOC0000077,SIN000026,Factura,True,True,2025-06-19,False,
DOC0000078,SIN000026,Informe,True,True,2025-06-17,False,
DOC0000079,SIN000027,Denuncia,True,True,2025-08-01,False,
DOC0000080,SIN000027,Factura,True,True,2025-07-29,False,
DOC0000081,SIN000027,Informe,True,True,2025-07-29,False,
DOC0000082,SIN000028,Denuncia,True,True,2025-02-25,False,
DOC0000083,SIN000028,Factura,True,True,2025-02-24,False,
DOC0000084,SIN000028,Informe,True,True,2025-02-24,False,
DOC0000085,SIN000029,Denuncia,True,True,2024-12-28,False,
DOC0000086,SIN000029,Factura,True,True,2025-01-02,False,
DOC0000087,SIN000029,Informe,True,True,2024-12-29,False,
DOC0000088,SIN000030,Denuncia,True,True,2024-11-08,False,
DOC0000089,SIN000030,Factura,True,True,2024-11-07,False,
DOC0000090,SIN000030,Informe,True,True,2024-11-08,False,
DOC0000091,SIN000031,Denuncia,True,True,2025-03-11,False,
DOC0000092,SIN000031,Factura,True,True,2025-03-14,False,
DOC0000093,SIN000031,Informe,True,True,2025-03-11,False,
DOC0000094,SIN000032,Denuncia,True,True,2025-02-24,False,
DOC0000095,SIN000032,Factura,True,True,2025-02-20,False,
DOC0000096,SIN000032,Informe,True,True,2025-02-23,False,
DOC0000097,SIN000033,Denuncia,True,True,2025-06-11,False,
DOC0000098,SIN000033,Factura,True,True,2025-06-07,False,
DOC0000099,SIN000033,Informe,True,True,2025-06-06,False,
DOC0000100,SIN000034,Denuncia,True,True,2024-08-11,False,
DOC0000101,SIN000034,Factura,True,True,2024-08-10,False,
DOC0000102,SIN000034,Informe,True,True,2024-08-14,False,
DOC0000103,SIN000035,Denuncia,True,True,2025-02-26,False,
DOC0000104,SIN000035,Factura,True,True,2025-02-26,False,
DOC0000105,SIN000035,Informe,True,True,2025-02-26,False,
DOC0000106,SIN000036,Denuncia,True,True,2024-12-12,False,
DOC0000107,SIN000036,Factura,True,True,2024-12-10,False,
DOC0000108,SIN000036,Informe,True,True,2024-12-09,False,
DOC0000109,SIN000037,Denuncia,True,True,2024-09-13,False,
DOC0000110,SIN000037,Factura,True,True,2024-09-15,False,
DOC0000111,SIN000037,Informe,True,True,2024-09-12,False,
DOC0000112,SIN000038,Denuncia,True,True,2025-05-03,False,
DOC0000113,SIN000038,Factura,True,True,2025-05-06,False,
DOC0000114,SIN000038,Informe,True,True,2025-05-07,False,
DOC0000115,SIN000039,Denuncia,True,True,2025-02-15,False,
DOC0000116,SIN000039,Factura,True,True,2025-02-16,False,
DOC0000117,SIN000039,Informe,True,True,2025-02-12,False,
DOC0000118,SIN000040,Denuncia,True,True,2024-06-24,False,
DOC0000119,SIN000040,Factura,True,True,2024-06-22,False,
DOC0000120,SIN000040,Informe,True,True,2024-06-25,False,
DOC0000121,SIN000041,Denuncia,True,True,2024-12-28,False,
DOC0000122,SIN000041,Factura,True,True,2024-12-28,False,
DOC0000123,SIN000041,Informe,True,True,2024-12-30,False,
DOC0000124,SIN000042,Denuncia,True,True,2024-12-17,False,
DOC0000125,SIN000042,Factura,True,True,2024-12-16,False,
DOC0000126,SIN000042,Informe,True,True,2024-12-14,False,
DOC0000127,SIN000043,Denuncia,True,True,2024-10-29,False,
DOC0000128,SIN000043,Factura,True,True,2024-11-03,False,
DOC0000129,SIN000043,Informe,True,True,2024-11-02,False,
DOC0000130,SIN000044,Denuncia,True,True,2024-09-10,False,
DOC0000131,SIN000044,Factura,True,True,2024-09-10,False,
DOC0000132,SIN000044,Informe,True,True,2024-09-10,False,
DOC0000133,SIN000045,Denuncia,True,True,2024-08-17,False,
DOC0000134,SIN000045,Factura,True,True,2024-08-17,False,
DOC0000135,SIN000045,Informe,True,True,2024-08-15,False,
DOC0000136,SIN000046,Denuncia,True,True,2025-02-01,False,
DOC0000137,SIN000046,Factura,True,True,2025-01-31,False,
DOC0000138,SIN000046,Informe,True,True,2025-01-28,False,
DOC0000139,SIN000047,Denuncia,True,True,2025-01-05,False,
DOC0000140,SIN000047,Factura,True,True,2025-01-01,False,
DOC0000141,SIN000047,Informe,True,True,2025-01-05,False,
DOC0000142,SIN000048,Denuncia,True,True,2025-07-18,False,
DOC0000143,SIN000048,Factura,True,True,2025-07-17,False,
DOC0000144,SIN000048,Informe,True,True,2025-07-19,False,
DOC0000145,SIN000049,Denuncia,True,True,2024-09-02,False,
DOC0000146,SIN000049,Factura,True,True,2024-09-04,False,
DOC0000147,SIN000049,Informe,True,True,2024-09-04,False,
DOC0000148,SIN000050,Denuncia,True,True,2025-05-25,False,
DOC0000149,SIN000050,Factura,True,True,2025-05-30,False,
DOC0000150,SIN000050,Informe,True,True,2025-05-25,False,
DOC0000151,SIN000051,Denuncia,True,True,2024-12-10,False,
DOC0000152,SIN000051,Factura,True,True,2024-12-13,False,
DOC0000153,SIN000051,Informe,True,True,2024-12-11,False,
DOC0000154,SIN000052,Denuncia,True,True,2025-01-04,False,
DOC0000155,SIN000052,Factura,True,True,2025-01-07,False,
DOC0000156,SIN000052,Informe,True,True,2025-01-06,False,
DOC0000157,SIN000053,Denuncia,True,True,2024-09-08,False,
DOC0000158,SIN000053,Factura,True,True,2024-09-06,False,
DOC0000159,SIN000053,Informe,True,True,2024-09-06,False,
DOC0000160,SIN000054,Denuncia,True,True,2025-04-08,False,
DOC0000161,SIN000054,Factura,True,True,2025-04-11,False,
DOC0000162,SIN000054,Informe,True,True,2025-04-10,False,
DOC0000163,SIN000055,Denuncia,True,True,2024-05-26,False,
DOC0000164,SIN000055,Factura,True,True,2024-05-29,False,
DOC0000165,SIN000055,Informe,True,True,2024-05-26,False,
DOC0000166,SIN000056,Denuncia,True,True,2025-03-01,False,
DOC0000167,SIN000056,Factura,True,True,2025-02-28,False,
DOC0000168,SIN000056,Informe,True,True,2025-03-01,False,
DOC0000169,SIN000057,Denuncia,True,True,2025-07-28,False,
DOC0000170,SIN000057,Factura,True,True,2025-07-30,False,
DOC0000171,SIN000057,Informe,True,True,2025-07-25,False,
DOC0000172,SIN000058,Denuncia,True,True,2025-02-09,False,
DOC0000173,SIN000058,Factura,True,True,2025-02-13,False,
DOC0000174,SIN000058,Informe,True,True,2025-02-13,False,
DOC0000175,SIN000059,Denuncia,True,True,2024-09-07,False,
DOC0000176,SIN000059,Factura,True,True,2024-09-04,False,
DOC0000177,SIN000059,Informe,True,True,2024-09-06,False,
DOC0000178,SIN000060,Denuncia,True,True,2025-10-16,False,
DOC0000179,SIN000060,Factura,True,True,2025-10-17,False,
DOC0000180,SIN000060,Informe,True,True,2025-10-16,False,
DOC0000181,SIN000061,Denuncia,True,True,2024-12-09,False,
DOC0000182,SIN000061,Factura,True,True,2024-12-10,False,
DOC0000183,SIN000061,Informe,True,True,2024-12-11,False,
DOC0000184,SIN000062,Denuncia,True,True,2024-06-23,False,
DOC0000185,SIN000062,Factura,True,True,2024-06-20,False,
DOC0000186,SIN000062,Informe,True,True,2024-06-24,False,
DOC0000187,SIN000063,Denuncia,True,True,2025-06-15,False,
DOC0000188,SIN000063,Factura,True,True,2025-06-18,False,
DOC0000189,SIN000063,Informe,True,True,2025-06-17,False,
DOC0000190,SIN000064,Denuncia,True,True,2025-01-15,False,
DOC0000191,SIN000064,Factura,True,True,2025-01-15,False,
DOC0000192,SIN000064,Informe,True,True,2025-01-15,False,
DOC0000193,SIN000065,Denuncia,True,True,2025-05-18,False,
DOC0000194,SIN000065,Factura,True,True,2025-05-18,False,
DOC0000195,SIN000065,Informe,True,True,2025-05-18,False,
DOC0000196,SIN000066,Denuncia,True,True,2024-12-20,False,
DOC0000197,SIN000066,Factura,True,True,2024-12-20,False,
DOC0000198,SIN000066,Informe,True,True,2024-12-23,False,
DOC0000199,SIN000067,Denuncia,True,True,2025-02-12,False,
DOC0000200,SIN000067,Factura,True,True,2025-02-13,False,
DOC0000201,SIN000067,Informe,True,True,2025-02-10,False,
DOC0000202,SIN000068,Denuncia,True,True,2024-08-04,False,
DOC0000203,SIN000068,Factura,True,True,2024-08-06,False,
DOC0000204,SIN000068,Informe,True,True,2024-08-05,False,
DOC0000205,SIN000069,Denuncia,True,True,2025-05-24,False,
DOC0000206,SIN000069,Factura,True,True,2025-05-22,False,
DOC0000207,SIN000069,Informe,True,True,2025-05-23,False,
DOC0000208,SIN000070,Denuncia,True,True,2025-02-12,False,
DOC0000209,SIN000070,Factura,True,True,2025-02-09,False,
DOC0000210,SIN000070,Informe,True,True,2025-02-09,False,
DOC0000211,SIN000071,Denuncia,True,True,2024-09-07,False,
DOC0000212,SIN000071,Factura,True,True,2024-09-04,False,
DOC0000213,SIN000071,Informe,True,True,2024-09-07,False,
DOC0000214,SIN000072,Denuncia,True,True,2024-11-20,False,
DOC0000215,SIN000072,Factura,True,True,2024-11-21,False,
DOC0000216,SIN000072,Informe,True,True,2024-11-25,False,
DOC0000217,SIN000073,Denuncia,True,True,2024-06-17,False,
DOC0000218,SIN000073,Factura,True,True,2024-06-22,False,
DOC0000219,SIN000073,Informe,True,True,2024-06-17,False,
DOC0000220,SIN000074,Denuncia,True,True,2024-07-21,False,
DOC0000221,SIN000074,Factura,True,True,2024-07-25,False,
DOC0000222,SIN000074,Informe,True,True,2024-07-20,False,
DOC0000223,SIN000075,Denuncia,True,True,2024-07-17,False,
DOC0000224,SIN000075,Factura,True,True,2024-07-16,False,
DOC0000225,SIN000075,Informe,True,True,2024-07-18,False,
DOC0000226,SIN000076,Denuncia,True,True,2025-03-31,False,
DOC0000227,SIN000076,Factura,True,True,2025-03-30,False,
DOC0000228,SIN000076,Informe,True,True,2025-04-01,False,
DOC0000229,SIN000077,Denuncia,True,True,2024-06-19,False,
DOC0000230,SIN000077,Factura,True,True,2024-06-19,False,
DOC0000231,SIN000077,Informe,True,True,2024-06-18,False,
DOC0000232,SIN000078,Denuncia,True,True,2025-03-20,False,
DOC0000233,SIN000078,Factura,True,True,2025-03-20,False,
DOC0000234,SIN000078,Informe,True,True,2025-03-17,False,
DOC0000235,SIN000079,Denuncia,True,True,2025-07-10,False,
DOC0000236,SIN000079,Factura,True,True,2025-07-10,False,
DOC0000237,SIN000079,Informe,True,True,2025-07-10,False,
DOC0000238,SIN000080,Denuncia,True,True,2024-06-28,False,
DOC0000239,SIN000080,Factura,True,True,2024-06-28,False,
DOC0000240,SIN000080,Informe,True,True,2024-07-01,False,
DOC0000241,SIN000081,Denuncia,True,True,2024-06-01,False,
DOC0000242,SIN000081,Factura,True,True,2024-06-01,False,
DOC0000243,SIN000081,Informe,True,True,2024-06-02,False,
DOC0000244,SIN000082,Denuncia,True,True,2024-11-17,False,
DOC0000245,SIN000082,Factura,True,True,2024-11-17,False,
DOC0000246,SIN000082,Informe,True,True,2024-11-18,False,
DOC0000247,SIN000083,Denuncia,True,True,2025-08-02,False,
DOC0000248,SIN000083,Factura,True,True,2025-08-02,False,
DOC0000249,SIN000083,Informe,True,True,2025-08-05,False,
DOC0000250,SIN000084,Denuncia,True,True,2024-11-07,False,
DOC0000251,SIN000084,Factura,True,True,2024-11-08,False,
DOC0000252,SIN000084,Informe,True,True,2024-11-06,False,
DOC0000253,SIN000085,Denuncia,True,True,2024-04-09,False,
DOC0000254,SIN000085,Factura,True,True,2024-04-10,False,
DOC0000255,SIN000085,Informe,True,True,2024-04-12,False,
DOC0000256,SIN000086,Denuncia,True,True,2025-09-15,False,
DOC0000257,SIN000086,Factura,True,True,2025-09-15,False,
DOC0000258,SIN000086,Informe,True,True,2025-09-17,False,
DOC0000259,SIN000087,Denuncia,True,True,2025-06-13,False,
DOC0000260,SIN000087,Factura,True,True,2025-06-09,False,
DOC0000261,SIN000087,Informe,True,True,2025-06-13,False,
DOC0000262,SIN000088,Denuncia,True,True,2025-04-16,False,
DOC0000263,SIN000088,Factura,True,True,2025-04-17,False,
DOC0000264,SIN000088,Informe,True,True,2025-04-21,False,
DOC0000265,SIN000089,Denuncia,True,True,2024-06-29,False,
DOC0000266,SIN000089,Factura,True,True,2024-06-29,False,
DOC0000267,SIN000089,Informe,True,True,2024-06-25,False,
DOC0000268,SIN000090,Denuncia,True,True,2024-02-10,False,
DOC0000269,SIN000090,Factura,True,True,2024-02-11,False,
DOC0000270,SIN000090,Informe,True,True,2024-02-11,False,
DOC0000271,SIN000091,Denuncia,True,True,2025-05-13,False,
DOC0000272,SIN000091,Factura,True,True,2025-05-11,False,
DOC0000273,SIN000091,Informe,True,True,2025-05-13,False,
DOC0000274,SIN000092,Denuncia,True,True,2025-04-01,False,
DOC0000275,SIN000092,Factura,True,True,2025-03-29,False,
DOC0000276,SIN000092,Informe,True,True,2025-04-02,False,
DOC0000277,SIN000093,Denuncia,True,True,2024-03-28,False,
DOC0000278,SIN000093,Factura,True,True,2024-03-30,False,
DOC0000279,SIN000093,Informe,True,True,2024-04-02,False,
DOC0000280,SIN000094,Denuncia,True,True,2024-08-19,False,
DOC0000281,SIN000094,Factura,True,True,2024-08-19,False,
DOC0000282,SIN000094,Informe,True,True,2024-08-16,False,
DOC0000283,SIN000095,Denuncia,True,True,2024-08-21,False,
DOC0000284,SIN000095,Factura,True,True,2024-08-23,False,
DOC0000285,SIN000095,Informe,True,True,2024-08-21,False,
DOC0000286,SIN000096,Denuncia,True,True,2024-10-04,False,
DOC0000287,SIN000096,Factura,True,True,2024-10-04,False,
DOC0000288,SIN000096,Informe,True,True,2024-10-06,False,
DOC0000289,SIN000097,Denuncia,True,True,2025-08-09,False,
DOC0000290,SIN000097,Factura,True,True,2025-08-08,False,
DOC0000291,SIN000097,Informe,True,True,2025-08-04,False,
DOC0000292,SIN000098,Denuncia,True,True,2025-01-23,False,
DOC0000293,SIN000098,Factura,True,True,2025-01-21,False,
DOC0000294,SIN000098,Informe,True,True,2025-01-19,False,
DOC0000295,SIN000099,Denuncia,True,True,2024-06-18,False,
DOC0000296,SIN000099,Factura,True,True,2024-06-17,False,
DOC0000297,SIN000099,Informe,True,True,2024-06-19,False,
DOC0000298,SIN000100,Denuncia,True,True,2025-07-30,False,
DOC0000299,SIN000100,Factura,True,True,2025-08-02,False,
DOC0000300,SIN000100,Informe,True,True,2025-07-31,False,
DOC0000301,SIN000101,Denuncia,True,True,2024-08-28,False,
DOC0000302,SIN000101,Factura,True,True,2024-08-31,False,
DOC0000303,SIN000101,Informe,True,True,2024-08-27,False,
DOC0000304,SIN000102,Denuncia,True,True,2024-07-23,False,
DOC0000305,SIN000102,Factura,True,True,2024-07-25,False,
DOC0000306,SIN000102,Informe,True,True,2024-07-27,False,
DOC0000307,SIN000103,Denuncia,True,True,2024-03-07,False,
DOC0000308,SIN000103,Factura,True,True,2024-03-09,False,
DOC0000309,SIN000103,Informe,True,True,2024-03-07,False,
DOC0000310,SIN000104,Denuncia,True,True,2024-07-18,False,
DOC0000311,SIN000104,Factura,True,True,2024-07-16,False,
DOC0000312,SIN000104,Informe,True,True,2024-07-20,False,
DOC0000313,SIN000105,Denuncia,True,True,2024-12-27,False,
DOC0000314,SIN000105,Factura,True,True,2024-12-30,False,
DOC0000315,SIN000105,Informe,True,True,2024-12-28,False,
DOC0000316,SIN000106,Denuncia,True,True,2025-03-27,False,
DOC0000317,SIN000106,Factura,True,True,2025-03-26,False,
DOC0000318,SIN000106,Informe,True,True,2025-03-28,False,
DOC0000319,SIN000107,Denuncia,True,True,2025-09-19,False,
DOC0000320,SIN000107,Factura,True,True,2025-09-17,False,
DOC0000321,SIN000107,Informe,True,True,2025-09-19,False,
DOC0000322,SIN000108,Denuncia,True,True,2024-08-20,False,
DOC0000323,SIN000108,Factura,True,True,2024-08-22,False,
DOC0000324,SIN000108,Informe,True,True,2024-08-21,False,
DOC0000325,SIN000109,Denuncia,True,True,2025-03-31,False,
DOC0000326,SIN000109,Factura,True,True,2025-03-30,False,
DOC0000327,SIN000109,Informe,True,True,2025-04-01,False,
DOC0000328,SIN000110,Denuncia,True,True,2025-03-12,False,
DOC0000329,SIN000110,Factura,True,True,2025-03-12,False,
DOC0000330,SIN000110,Informe,True,True,2025-03-17,False,
DOC0000331,SIN000111,Denuncia,True,True,2025-06-15,False,
DOC0000332,SIN000111,Factura,True,True,2025-06-15,False,
DOC0000333,SIN000111,Informe,True,True,2025-06-11,False,
DOC0000334,SIN000112,Denuncia,True,True,2025-03-23,False,
DOC0000335,SIN000112,Factura,True,True,2025-03-23,False,
DOC0000336,SIN000112,Informe,True,True,2025-03-28,False,
DOC0000337,SIN000113,Denuncia,True,True,2024-12-07,False,
DOC0000338,SIN000113,Factura,True,True,2024-12-05,False,
DOC0000339,SIN000113,Informe,True,True,2024-12-05,False,
DOC0000340,SIN000114,Denuncia,True,True,2024-09-26,False,
DOC0000341,SIN000114,Factura,True,True,2024-09-25,False,
DOC0000342,SIN000114,Informe,True,True,2024-09-25,False,
DOC0000343,SIN000115,Denuncia,True,True,2024-11-23,False,
DOC0000344,SIN000115,Factura,True,True,2024-11-25,False,
DOC0000345,SIN000115,Informe,True,True,2024-11-25,False,
DOC0000346,SIN000116,Denuncia,True,True,2024-07-22,False,
DOC0000347,SIN000116,Factura,True,True,2024-07-22,False,
DOC0000348,SIN000116,Informe,True,True,2024-07-21,False,
DOC0000349,SIN000117,Denuncia,True,True,2024-09-27,False,
DOC0000350,SIN000117,Factura,True,True,2024-09-25,False,
DOC0000351,SIN000117,Informe,True,True,2024-09-24,False,
DOC0000352,SIN000118,Denuncia,True,True,2025-02-12,False,
DOC0000353,SIN000118,Factura,True,True,2025-02-13,False,
DOC0000354,SIN000118,Informe,True,True,2025-02-11,False,
DOC0000355,SIN000119,Denuncia,True,True,2025-01-20,False,
DOC0000356,SIN000119,Factura,True,True,2025-01-22,False,
DOC0000357,SIN000119,Informe,True,True,2025-01-24,False,
DOC0000358,SIN000120,Denuncia,True,True,2024-11-07,False,
DOC0000359,SIN000120,Factura,True,True,2024-11-09,False,
DOC0000360,SIN000120,Informe,True,True,2024-11-05,False,
DOC0000361,SIN000121,Denuncia,True,True,2025-02-23,False,
DOC0000362,SIN000121,Factura,True,True,2025-02-19,False,
DOC0000363,SIN000121,Informe,True,True,2025-02-24,False,
DOC0000364,SIN000122,Denuncia,True,True,2025-05-02,False,
DOC0000365,SIN000122,Factura,True,True,2025-04-29,False,
DOC0000366,SIN000122,Informe,True,True,2025-05-01,False,
DOC0000367,SIN000123,Denuncia,True,True,2024-12-28,False,
DOC0000368,SIN000123,Factura,True,True,2024-12-28,False,
DOC0000369,SIN000123,Informe,True,True,2024-12-30,False,
DOC0000370,SIN000124,Denuncia,True,True,2024-12-23,False,
DOC0000371,SIN000124,Factura,True,True,2024-12-23,False,
DOC0000372,SIN000124,Informe,True,True,2024-12-25,False,
DOC0000373,SIN000125,Denuncia,True,True,2025-02-09,False,
DOC0000374,SIN000125,Factura,True,True,2025-02-13,False,
DOC0000375,SIN000125,Informe,True,True,2025-02-13,False,
DOC0000376,SIN000126,Denuncia,True,True,2025-04-14,False,
DOC0000377,SIN000126,Factura,True,True,2025-04-14,False,
DOC0000378,SIN000126,Informe,True,True,2025-04-16,False,
DOC0000379,SIN000127,Denuncia,True,True,2025-04-13,False,
DOC0000380,SIN000127,Factura,True,True,2025-04-12,False,
DOC0000381,SIN000127,Informe,True,True,2025-04-17,False,
DOC0000382,SIN000128,Denuncia,True,True,2024-12-17,False,
DOC0000383,SIN000128,Factura,True,True,2024-12-20,False,
DOC0000384,SIN000128,Informe,True,True,2024-12-19,False,
DOC0000385,SIN000129,Denuncia,True,True,2025-02-25,False,
DOC0000386,SIN000129,Factura,True,True,2025-02-28,False,
DOC0000387,SIN000129,Informe,True,True,2025-02-28,False,
DOC0000388,SIN000130,Denuncia,True,True,2025-01-03,False,
DOC0000389,SIN000130,Factura,True,True,2024-12-31,False,
DOC0000390,SIN000130,Informe,True,True,2025-01-02,False,
DOC0000391,SIN000131,Denuncia,True,True,2024-10-20,False,
DOC0000392,SIN000131,Factura,True,True,2024-10-22,False,
DOC0000393,SIN000131,Informe,True,True,2024-10-21,False,
DOC0000394,SIN000132,Denuncia,True,True,2025-05-02,False,
DOC0000395,SIN000132,Factura,True,True,2025-05-04,False,
DOC0000396,SIN000132,Informe,True,True,2025-05-01,False,
DOC0000397,SIN000133,Denuncia,True,True,2024-04-22,False,
DOC0000398,SIN000133,Factura,True,True,2024-04-25,False,
DOC0000399,SIN000133,Informe,True,True,2024-04-22,False,
DOC0000400,SIN000134,Denuncia,True,True,2025-02-04,False,
DOC0000401,SIN000134,Factura,True,True,2025-02-07,False,
DOC0000402,SIN000134,Informe,True,True,2025-02-09,False,
DOC0000403,SIN000135,Denuncia,True,True,2025-05-07,False,
DOC0000404,SIN000135,Factura,True,True,2025-05-10,False,
DOC0000405,SIN000135,Informe,True,True,2025-05-08,False,
DOC0000406,SIN000136,Denuncia,True,True,2024-12-25,False,
DOC0000407,SIN000136,Factura,True,True,2024-12-27,False,
DOC0000408,SIN000136,Informe,True,True,2024-12-26,False,
DOC0000409,SIN000137,Denuncia,True,True,2025-08-16,False,
DOC0000410,SIN000137,Factura,True,True,2025-08-17,False,
DOC0000411,SIN000137,Informe,True,True,2025-08-13,False,
DOC0000412,SIN000138,Denuncia,True,True,2024-09-25,False,
DOC0000413,SIN000138,Factura,True,True,2024-09-24,False,
DOC0000414,SIN000138,Informe,True,True,2024-09-25,False,
DOC0000415,SIN000139,Denuncia,True,True,2024-10-23,False,
DOC0000416,SIN000139,Factura,True,True,2024-10-26,False,
DOC0000417,SIN000139,Informe,True,True,2024-10-26,False,
DOC0000418,SIN000140,Denuncia,True,True,2024-08-06,False,
DOC0000419,SIN000140,Factura,True,True,2024-08-09,False,
DOC0000420,SIN000140,Informe,True,True,2024-08-09,False,
DOC0000421,SIN000141,Denuncia,True,True,2024-09-21,False,
DOC0000422,SIN000141,Factura,True,True,2024-09-25,False,
DOC0000423,SIN000141,Informe,True,True,2024-09-24,False,
DOC0000424,SIN000142,Denuncia,True,True,2025-05-05,False,
DOC0000425,SIN000142,Factura,True,True,2025-05-04,False,
DOC0000426,SIN000142,Informe,True,True,2025-05-02,False,
DOC0000427,SIN000143,Denuncia,True,True,2024-11-25,False,
DOC0000428,SIN000143,Factura,True,True,2024-11-23,False,
DOC0000429,SIN000143,Informe,True,True,2024-11-25,False,
DOC0000430,SIN000144,Denuncia,True,True,2024-10-07,False,
DOC0000431,SIN000144,Factura,True,True,2024-10-05,False,
DOC0000432,SIN000144,Informe,True,True,2024-10-08,False,
DOC0000433,SIN000145,Denuncia,True,True,2024-12-20,False,
DOC0000434,SIN000145,Factura,True,True,2024-12-19,False,
DOC0000435,SIN000145,Informe,True,True,2024-12-18,False,
DOC0000436,SIN000146,Denuncia,True,True,2024-06-12,False,
DOC0000437,SIN000146,Factura,True,True,2024-06-12,False,
DOC0000438,SIN000146,Informe,True,True,2024-06-10,False,
DOC0000439,SIN000147,Denuncia,True,True,2024-11-24,False,
